"sepal_length","sepal_width","petal_length","petal_width","species","petal_length_width_ratio"
5.84832214765101,3.5,1.4,0.2,"setosa",7
4.9,3,1.4,0.2,"setosa",7
4.7,3.2,1.3,0.2,"setosa",6.5
4.6,3.1,1.5,0.2,"setosa",7.5
5,3.6,1.4,0.2,"setosa",7
5.4,3.9,1.7,0.4,"setosa",4.25
4.6,3.4,1.4,0.3,"setosa",4.66666666666667
5,3.4,1.5,0.2,"setosa",7.5
4.4,2.9,1.4,0.2,"setosa",7
4.9,3.1,1.5,0.1,"setosa",15
5.4,3.7,1.5,0.2,"setosa",7.5
4.8,3.4,1.6,0.2,"setosa",8
4.8,3,1.4,0.1,"setosa",14
4.3,3,1.1,0.1,"setosa",11
5.8,4,1.2,0.2,"setosa",6
5.7,4.4,1.5,0.4,"setosa",3.75
5.4,3.9,1.3,0.4,"setosa",3.25
5.1,3.5,1.4,0.3,"setosa",4.66666666666667
5.7,3.8,1.7,0.3,"setosa",5.66666666666667
5.1,3.8,1.5,0.3,"setosa",5
5.4,3.4,1.7,0.2,"setosa",8.5
5.1,3.7,1.5,0.4,"setosa",3.75
4.6,3.6,1,0.2,"setosa",5
5.1,3.3,1.7,0.5,"setosa",3.4
4.8,3.4,1.9,0.2,"setosa",9.5
5,3,1.6,0.2,"setosa",8
5,3.4,1.6,0.4,"setosa",4
5.2,3.5,1.5,0.2,"setosa",7.5
5.2,3.4,1.4,0.2,"setosa",7
4.7,3.2,1.6,0.2,"setosa",8
4.8,3.1,1.6,0.2,"setosa",8
5.4,3.4,1.5,0.4,"setosa",3.75
5.2,4.1,1.5,0.1,"setosa",15
5.5,4.2,1.4,0.2,"setosa",7
4.9,3.1,1.5,0.2,"setosa",7.5
5,3.2,1.2,0.2,"setosa",6
5.5,3.5,1.3,0.2,"setosa",6.5
4.9,3.6,1.4,0.1,"setosa",14
4.4,3,1.3,0.2,"setosa",6.5
5.1,3.4,1.5,0.2,"setosa",7.5
5,3.5,1.3,0.3,"setosa",4.33333333333333
4.5,2.3,1.3,0.3,"setosa",4.33333333333333
4.4,3.2,1.3,0.2,"setosa",6.5
5,3.5,1.6,0.6,"setosa",2.66666666666667
5.1,3.8,1.9,0.4,"setosa",4.75
4.8,3,1.4,0.3,"setosa",4.66666666666667
5.1,3.8,1.6,0.2,"setosa",8
4.6,3.2,1.4,0.2,"setosa",7
5.3,3.7,1.5,0.2,"setosa",7.5
5,3.3,1.4,0.2,"setosa",7
7,3.2,4.7,1.4,"versicolor",3.35714285714286
6.4,3.2,4.5,1.5,"versicolor",3
6.9,3.1,4.9,1.5,"versicolor",3.26666666666667
5.5,2.3,4,1.3,"versicolor",3.07692307692308
6.5,2.8,4.6,1.5,"versicolor",3.06666666666667
5.7,2.8,4.5,1.3,"versicolor",3.46153846153846
6.3,3.3,4.7,1.6,"versicolor",2.9375
4.9,2.4,3.3,1,"versicolor",3.3
6.6,2.9,4.6,1.3,"versicolor",3.53846153846154
5.2,2.7,3.9,1.4,"versicolor",2.78571428571429
5,2,3.5,1,"versicolor",3.5
5.9,3,4.2,1.5,"versicolor",2.8
6,2.2,4,1,"versicolor",4
6.1,2.9,4.7,1.4,"versicolor",3.35714285714286
5.6,2.9,3.6,1.3,"versicolor",2.76923076923077
6.7,3.1,4.4,1.4,"versicolor",3.14285714285714
5.6,3,4.5,1.5,"versicolor",3
5.8,2.7,4.1,1,"versicolor",4.1
6.2,2.2,4.5,1.5,"versicolor",3
5.6,2.5,3.9,1.1,"versicolor",3.54545454545454
5.9,3.2,4.8,1.8,"versicolor",2.66666666666667
6.1,2.8,4,1.3,"versicolor",3.07692307692308
6.3,2.5,4.9,1.5,"versicolor",3.26666666666667
6.1,2.8,4.7,1.2,"versicolor",3.91666666666667
6.4,2.9,4.3,1.3,"versicolor",3.30769230769231
6.6,3,4.4,1.4,"versicolor",3.14285714285714
6.8,2.8,4.8,1.4,"versicolor",3.42857142857143
6.7,3,5,1.7,"versicolor",2.94117647058824
6,2.9,4.5,1.5,"versicolor",3
5.7,2.6,3.5,1,"versicolor",3.5
5.5,2.4,3.8,1.1,"versicolor",3.45454545454545
5.5,2.4,3.7,1,"versicolor",3.7
5.8,2.7,3.9,1.2,"versicolor",3.25
6,2.7,5.1,1.6,"versicolor",3.1875
5.4,3,4.5,1.5,"versicolor",3
6,3.4,4.5,1.6,"versicolor",2.8125
6.7,3.1,4.7,1.5,"versicolor",3.13333333333333
6.3,2.3,4.4,1.3,"versicolor",3.38461538461538
5.6,3,4.1,1.3,"versicolor",3.15384615384615
5.5,2.5,4,1.3,"versicolor",3.07692307692308
5.5,2.6,4.4,1.2,"versicolor",3.66666666666667
6.1,3,4.6,1.4,"versicolor",3.28571428571429
5.8,2.6,4,1.2,"versicolor",3.33333333333333
5,2.3,3.3,1,"versicolor",3.3
5.6,2.7,4.2,1.3,"versicolor",3.23076923076923
5.7,3,4.2,1.2,"versicolor",3.5
5.7,2.9,4.2,1.3,"versicolor",3.23076923076923
6.2,2.9,4.3,1.3,"versicolor",3.30769230769231
5.1,2.5,3,1.1,"versicolor",2.72727272727273
5.7,2.8,4.1,1.3,"versicolor",3.15384615384615
6.3,3.3,6,2.5,"virginica",2.4
5.8,2.7,5.1,1.9,"virginica",2.68421052631579
7.1,3,5.9,2.1,"virginica",2.80952380952381
6.3,2.9,5.6,1.8,"virginica",3.11111111111111
6.5,3,5.8,2.2,"virginica",2.63636363636364
7.6,3,6.6,2.1,"virginica",3.14285714285714
4.9,2.5,4.5,1.7,"virginica",2.64705882352941
7.3,2.9,6.3,1.8,"virginica",3.5
6.7,2.5,5.8,1.8,"virginica",3.22222222222222
7.2,3.6,6.1,2.5,"virginica",2.44
6.5,3.2,5.1,2,"virginica",2.55
6.4,2.7,5.3,1.9,"virginica",2.78947368421053
6.8,3,5.5,2.1,"virginica",2.61904761904762
5.7,2.5,5,2,"virginica",2.5
5.8,2.8,5.1,2.4,"virginica",2.125
6.4,3.2,5.3,2.3,"virginica",2.30434782608696
6.5,3,5.5,1.8,"virginica",3.05555555555556
7.7,3.8,6.7,2.2,"virginica",3.04545454545455
7.7,2.6,6.9,2.3,"virginica",3
6,2.2,5,1.5,"virginica",3.33333333333333
6.9,3.2,5.7,2.3,"virginica",2.47826086956522
5.6,2.8,4.9,2,"virginica",2.45
7.7,2.8,6.7,2,"virginica",3.35
6.3,2.7,4.9,1.8,"virginica",2.72222222222222
6.7,3.3,5.7,2.1,"virginica",2.71428571428571
7.2,3.2,6,1.8,"virginica",3.33333333333333
6.2,2.8,4.8,1.8,"virginica",2.66666666666667
6.1,3,4.9,1.8,"virginica",2.72222222222222
6.4,2.8,5.6,2.1,"virginica",2.66666666666667
7.2,3,5.8,1.6,"virginica",3.625
7.4,2.8,6.1,1.9,"virginica",3.21052631578947
7.9,3.8,6.4,2,"virginica",3.2
6.4,2.8,5.6,2.2,"virginica",2.54545454545454
6.3,2.8,5.1,1.5,"virginica",3.4
6.1,2.6,5.6,1.4,"virginica",4
7.7,3,6.1,2.3,"virginica",2.65217391304348
6.3,3.4,5.6,2.4,"virginica",2.33333333333333
6.4,3.1,5.5,1.8,"virginica",3.05555555555556
6,3,4.8,1.8,"virginica",2.66666666666667
6.9,3.1,5.4,2.1,"virginica",2.57142857142857
6.7,3.1,5.6,2.4,"virginica",2.33333333333333
6.9,3.1,5.1,2.3,"virginica",2.21739130434783
6.8,3.2,5.9,2.3,"virginica",2.56521739130435
6.7,3.3,5.7,2.5,"virginica",2.28
6.7,3,5.2,2.3,"virginica",2.26086956521739
6.3,2.5,5,1.9,"virginica",2.63157894736842
6.5,3,5.2,2,"virginica",2.6
6.2,3.4,5.4,2.3,"virginica",2.34782608695652
5.9,3,5.1,1.8,"virginica",2.83333333333333
